MAICD,disease_group_id,report_group_code,disease_group_name
N71,226,"N71,N73-N77",Tổn thương viêm khác của các cơ quan khung chậu nữ - Other inflamatory diseases of female pelvic organs
M40,206,"M40-M49,M53-M54",Bệnh khác của cột sống - Other dorsopathies
N80,227,N80,Viêm niêm mạc tử cung - Endometriosis
N81,228,N81,Sa sinh dục nữ - Female genital prolapse
N83,229,N83,"Tổn thương không viêm của buồng trứng, vòi fallope và dây chằng rộng - Noinflammatory disorders of ovary, fallopian tube and broad ligament"
O80,243,O80,Đẻ tự nhiên đơn giản - Single spontaneous delivery
O85,244,O85-O99,"Các biến chứng liên quan sinh đẻ và những vấn đề sản khoa chưa xếp ở chỗ khác - Complications predominantly related to the puerperium obstetric conditions, not elsewhere classified"
N91,230,N91-N92,Rối loạn kinh nguyệt - Disorders of menstruation
N95,231,N95,Rối loạn mãn kinh và xung quanh mãn kinh khác - Menopausal other perimenopausal disorders
N97,232,N97,Vô sinh nữ - Female infertility
Z30.2,307,Z30,Quản lí các biện pháp tránh thai - Contraceptive management
Z63.7,312,"Z31-Z33,Z37,Z55-Z99",Bệnh do tiếp xúc với dịch vụ y tế vì những lý do khác - Person encoutering health services for other reasons
Y56.0,300,Y40-Y59,Tai biến của thuốc và các chất sinh học trong điều trị - Drugs medicament and biological substances causing adverseeffects in therapeutic use.
Y63.0,301,Y60-Y69,Tai nạn rủi ro với người bệnh trong chăm sóc nội khoa - Misadventures to patients during surgical and medical care.
X34.0,296,X20-X29,Tai nạn do tiếp xúc với động vật và cây độc - Contact with venomous animals and plants
X59.0,297,X40-X49,Tai nạn ngộ độc do các chất độc - Accident poisoning by and exposure to noxious substances
U04,313,U07.1,COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.
Z52.6,311,Z40-Z54,Bệnh do tiếp xúc với dịch vụ y tế phải chăm sóc và khám xét đặc biệt - Persons encountering health services for specific procedures and health care
V82.1,290,V01-V99,Tai nạn giao thông - Transport accidént
T78,287,"T33-T35,T66-T73,T75-T78",Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes
T79,288,T79-T88,"Một số biến chứng sớm của chấn thương, của chăm sóc ngoại khoa và y học, chưa xếp ở nơi khác - Certain early complications of trauma and complications of surgical and medical care, not elsewhere classified"
T90,289,T90-T98,"Di chứng, thương tổn do chấn thương, do ngộ độc và hậu quả khác do nguyên nhân bên ngoài - Sequalae of injuries, of poisoning and of other consequences of external causes"
W00,291,W00-W64,Tai nạn do các nguyên nhân sức mạnh cơ học và không cố ý - exposure to inanimate mechanical forces
Y70,302,Y70-Y84,Tai nạn do sử dụng thiết bị trong chẩn đoán và điều trị - Medical devices associated with adverse incidents in diagnostic and therapeutic use
T54.9,285,T51-T65,Tác hại của các chất có nguồn gốc chủ yếu không phải thuốc - Toxic effects of substances chiefly nonmedical as to source
T38.2,284,T36-T50,Nhiễm độc thuốc và các sinh phẩm - Poisoning by drugs and biological substances
Y90,303,Y90-Y98,Các yếu tố tăng cường cho nguyên nhân bệnh tật tử vong đã có trong phân loại - Supplementary factors related to cause of morbidity classified elswhere
W65,292,W65-W84,"Tai nạn chết đuối, chết chìm - Accident drowning and submersion"
W85,293,W85-W99,"Tai nạn do dòng điện bức xạ, nhiệt độ và áp lực không khí quá cao - exposure to electric current radiation and extreme ambian air temperature and pressure"
