period,year,month_num,season,disease_target,age_group,case_count
2022-03,2022,3,Mùa khô,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",D??i 1 tu?i,13
2022-04,2022,4,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,1-5 tu?i,5
2022-04,2022,4,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,11-15 tu?i,1
2022-04,2022,4,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,6-10 tu?i,7
2022-04,2022,4,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,D??i 1 tu?i,2
2022-04,2022,4,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",1-5 tu?i,1
2022-04,2022,4,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",11-15 tu?i,1
2022-04,2022,4,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",6-10 tu?i,2
2022-04,2022,4,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",D??i 1 tu?i,2
2022-04,2022,4,Mùa khô,Bệnh virut khác - Other viral diseases,1-5 tu?i,25
2022-04,2022,4,Mùa khô,Bệnh virut khác - Other viral diseases,6-10 tu?i,4
2022-04,2022,4,Mùa khô,Bệnh virut khác - Other viral diseases,D??i 1 tu?i,10
2022-04,2022,4,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1-5 tu?i,2
2022-04,2022,4,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,6-10 tu?i,2
2022-04,2022,4,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,D??i 1 tu?i,1
2022-04,2022,4,Mùa khô,Các bệnh viêm phổi - Pneumonia,1-5 tu?i,22
2022-04,2022,4,Mùa khô,Các bệnh viêm phổi - Pneumonia,11-15 tu?i,1
2022-04,2022,4,Mùa khô,Các bệnh viêm phổi - Pneumonia,6-10 tu?i,3
2022-04,2022,4,Mùa khô,Các bệnh viêm phổi - Pneumonia,D??i 1 tu?i,13
2022-04,2022,4,Mùa khô,Cúm - Influenza,1-5 tu?i,4
2022-04,2022,4,Mùa khô,Cúm - Influenza,11-15 tu?i,1
2022-04,2022,4,Mùa khô,Cúm - Influenza,6-10 tu?i,2
2022-04,2022,4,Mùa khô,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,1-5 tu?i,4
2022-04,2022,4,Mùa khô,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,11-15 tu?i,4
2022-04,2022,4,Mùa khô,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,6-10 tu?i,6
2022-04,2022,4,Mùa khô,Hen - Asthma,11-15 tu?i,6
2022-04,2022,4,Mùa khô,Hen - Asthma,6-10 tu?i,3
2022-04,2022,4,Mùa khô,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,1-5 tu?i,4
2022-04,2022,4,Mùa khô,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,6-10 tu?i,2
2022-04,2022,4,Mùa khô,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,D??i 1 tu?i,1
2022-04,2022,4,Mùa khô,Không rõ nhóm bệnh,1-5 tu?i,4
2022-04,2022,4,Mùa khô,Không rõ nhóm bệnh,D??i 1 tu?i,2
2022-04,2022,4,Mùa khô,Thuỷ đậu và zôna - Varicella and Zoster,1-5 tu?i,5
2022-04,2022,4,Mùa khô,Thuỷ đậu và zôna - Varicella and Zoster,6-10 tu?i,1
2022-04,2022,4,Mùa khô,Thuỷ đậu và zôna - Varicella and Zoster,D??i 1 tu?i,1
2022-04,2022,4,Mùa khô,"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",1-5 tu?i,2
2022-04,2022,4,Mùa khô,"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",6-10 tu?i,2
2022-04,2022,4,Mùa khô,"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",D??i 1 tu?i,1
2022-04,2022,4,Mùa khô,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",6-10 tu?i,4
2022-04,2022,4,Mùa khô,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",D??i 1 tu?i,1
2022-04,2022,4,Mùa khô,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,1-5 tu?i,20
2022-04,2022,4,Mùa khô,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,11-15 tu?i,1
2022-04,2022,4,Mùa khô,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,6-10 tu?i,11
2022-04,2022,4,Mùa khô,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,D??i 1 tu?i,2
2022-04,2022,4,Mùa khô,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1-5 tu?i,9
2022-04,2022,4,Mùa khô,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,11-15 tu?i,2
2022-04,2022,4,Mùa khô,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,6-10 tu?i,8
2022-04,2022,4,Mùa khô,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,D??i 1 tu?i,6
2022-04,2022,4,Mùa khô,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1-5 tu?i,26
2022-04,2022,4,Mùa khô,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,11-15 tu?i,2
2022-04,2022,4,Mùa khô,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,6-10 tu?i,6
2022-04,2022,4,Mùa khô,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,D??i 1 tu?i,20
2022-04,2022,4,Mùa khô,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",1-5 tu?i,11
2022-04,2022,4,Mùa khô,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",6-10 tu?i,1
2022-04,2022,4,Mùa khô,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",D??i 1 tu?i,16
2022-05,2022,5,Mùa mưa,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,1-5 tu?i,13
2022-05,2022,5,Mùa mưa,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,6-10 tu?i,4
2022-05,2022,5,Mùa mưa,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",1-5 tu?i,2
2022-05,2022,5,Mùa mưa,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",11-15 tu?i,5
2022-05,2022,5,Mùa mưa,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",6-10 tu?i,7
2022-05,2022,5,Mùa mưa,Bệnh virut khác - Other viral diseases,1-5 tu?i,13
2022-05,2022,5,Mùa mưa,Bệnh virut khác - Other viral diseases,11-15 tu?i,1
2022-05,2022,5,Mùa mưa,Bệnh virut khác - Other viral diseases,6-10 tu?i,6
2022-05,2022,5,Mùa mưa,Bệnh virut khác - Other viral diseases,D??i 1 tu?i,8
2022-05,2022,5,Mùa mưa,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1-5 tu?i,9
2022-05,2022,5,Mùa mưa,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,6-10 tu?i,6
2022-05,2022,5,Mùa mưa,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,D??i 1 tu?i,1
2022-05,2022,5,Mùa mưa,Các bệnh viêm phổi - Pneumonia,1-5 tu?i,13
2022-05,2022,5,Mùa mưa,Các bệnh viêm phổi - Pneumonia,6-10 tu?i,1
2022-05,2022,5,Mùa mưa,Các bệnh viêm phổi - Pneumonia,D??i 1 tu?i,14
2022-05,2022,5,Mùa mưa,Cúm - Influenza,1-5 tu?i,5
2022-05,2022,5,Mùa mưa,Cúm - Influenza,6-10 tu?i,3
2022-05,2022,5,Mùa mưa,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,1-5 tu?i,1
2022-05,2022,5,Mùa mưa,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,11-15 tu?i,1
