feature,importance
cat__disease_target_Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract,0.0
cat__disease_target_Lao bộ máy hô hấp - Respiratory tuberculosis,0.0
"cat__disease_target_Bệnh khác của hệ xương khớp, cơ và mô liên kết - Other diseases of the musculo-skeletal system and connective tissue",0.0
cat__disease_target_Di tật về mật độ và cấu trúc của xương - Disorders of bone density and structure,0.0
cat__disease_target_Viêm não Virut - Viral encephalitis,0.0
cat__disease_target_Béo phì - Obesity,0.0
"cat__disease_target_Viêm kết mạc, tổn thương khác của kết mạc - Conjunctivitis and other disoders of conjunctiva",0.0
cat__disease_target_Các bệnh khác của mắt và phần phụ mắt - Other diseases of the eye and adnexa,0.0
"cat__disease_target_U ác môi, khoang miệng, họng - Malignant neoplasm of lip, oral cavity and pharynx",0.0
"cat__disease_target_Viêm phế quản tràn khí và các bệnh phổi tắc nghẽn mạn tính - Bronchitis, emphysema and other chronic obstructive diseases",0.0
cat__disease_target_Biến dạng các chi mắc phải - Accquired deformities of limbs,0.0
cat__disease_target_Bạo lực đánh nhau - Assault,0.0
cat__disease_target_Suy tim - Heart failure,0.0
cat__disease_target_Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,0.0
cat__disease_target_Người tiếp xúc với các dịch vụ y tế làm các khám xét và điều tra - Person encountering health services for examination and investigation,0.0
cat__disease_target_Tai nạn do tiếp xúc với động vật và cây độc - Contact with venomous animals and plants,0.0
"cat__disease_target_Sai khớp, bong gân, tổn thương khu trú và ở nhiều vùng cơ thể - Dislocations, sprains and strains of specified and multiple body regions",0.0
cat__disease_target_Lác mắt - Strabismus,0.0
cat__disease_target_Bệnh thấp tim mãn - Chronic rheumatic disease,0.0
cat__disease_target_U ác khác cơ quan sinh dục nữ - Malignant neoplasms of female genital organs,0.0
cat__disease_target_Giang mai bẩm sinh - Congenital syphilis,0.0
cat__disease_target_Gai đôi cột sống - Spina bifida,0.0
"cat__disease_target_Liệt não, hội chứng liệt khác - Cerebral palsy and other paralytic syndromes",0.0
cat__disease_target_Viêm gan virut khác - Other viral hepatitis,0.0
cat__disease_target_Lỵ Amip - Amoebiasis,0.0
cat__disease_target_U ác mắt và các phần phụ - Malignant neoplasm of eye and adnexa,0.0
cat__disease_target_Các tổn thương hô hấp đặc hiệu khác của thời kỳ chu sinh - Other respiratory disorders originating in the perinatal period,0.0
"cat__disease_target_Gãy xương cổ, ngực, khung chậu - Fracture of neck, thorax or pelvis.",0.0
cat__disease_target_Nấm - Mycoses,0.0
cat__disease_target_Rối loạn kinh nguyệt - Disorders of menstruation,0.0
cat__disease_target_Tổn thương của vú - Disorders of breast,0.0
cat__disease_target_Xơ cứng nhiều nơi - Multiple sclerosis,0.0
cat__disease_target_Bệnh giun sán khác - Other Helminthiases,0.0
cat__disease_target_U ác các phần khác của hệ thần kinh trung ương - Malignant neoplasm of other parts of central nervous system,0.0
cat__disease_target_Cơn thiếu máu não thoáng qua và các hội chứng tương tự - Transient cerebral ischaemic attacks and related syndromes,0.0
"cat__disease_target_Giang mai sớm (Giang mai I, II và kín) - Early syphilis",0.0
"cat__disease_target_Dị thường nhiễm sắc thể, chưa xếp ở chỗ khác - Chromosomal abnormalities, not elsewhere sclassified",0.0
cat__disease_target_U ác hắc tố da - Malignant melanoma of skin,0.0
cat__disease_target_U ác tụy - Malignant neoplasm of pancreas,0.0
cat__disease_target_Viêm xoang mạn tính - Chronic sinusitis,0.0
cat__disease_target_Viêm vòi trứng và viêm buồng trứng - Salpingitis and oophoritis,0.0
"cat__disease_target_Viêm giác mạc, tổn thương khác của củng mạc và giác mạc - Keratitis and other disorders of sclera and cornea.",0.0
"cat__disease_target_Tâm thần phân liệt, rối loạn dạng phân liệt và hoang tưởng - Schizophrenia, schiztypal and delusional disorders",0.0
cat__disease_target_Bệnh tăng huyết áp khác - Other hypertensive diseases,0.0
cat__disease_target_Trật đốt sống cổ và các đốt sống khác - Cervical and other interverbral disc disorders,0.0
cat__disease_target_Thiếu vitamin khác - Other vitamin deficiencies.,0.0
cat__disease_target_Rối loạn khí sắc - Mood ( affective) disorders.,0.0
cat__disease_target_Tai nạn ngộ độc do các chất độc - Accident poisoning by and exposure to noxious substances,0.0
cat__disease_target_Các bệnh do vi khuẩn khác - Other bacterial diseases,0.0
"cat__disease_target_Tai nạn chết đuối, chết chìm - Accident drowning and submersion",0.0
cat__disease_target_Nghẽn và huyết khối động mạch - Arterial embolism and thrombosis,0.0
cat__disease_target_Tai nạn giao thông - Transport accidént,0.0
cat__disease_target_U lành cơ quan tiết niệu - Benign neoplasm of urinary organs,0.0
cat__disease_target_Nhiễm HIV - Human immuno deficiency virus disease,0.0
cat__disease_target_Bệnh túi thừa của ruột non - Diverticular disease of intestine,0.0
cat__disease_target_Nhiễm virut Héc-pét - Herpesviral infections,0.0
