feature,importance
"cat__disease_target_Sai khớp, bong gân, tổn thương khu trú và ở nhiều vùng cơ thể - Dislocations, sprains and strains of specified and multiple body regions",1.747478224569757e-07
"cat__disease_target_Viêm kết mạc, tổn thương khác của kết mạc - Conjunctivitis and other disoders of conjunctiva",1.6870685886835196e-07
cat__disease_target_Các tổn thương hô hấp đặc hiệu khác của thời kỳ chu sinh - Other respiratory disorders originating in the perinatal period,1.6555408813796685e-07
cat__disease_target_Bệnh thấp tim mãn - Chronic rheumatic disease,1.6332961574789108e-07
cat__disease_target_Nhiễm độc thuốc và các sinh phẩm - Poisoning by drugs and biological substances,1.5688186341887632e-07
cat__disease_target_Viêm gan virut khác - Other viral hepatitis,1.5524807661899812e-07
cat__disease_target_Lỵ Amip - Amoebiasis,1.513886401396727e-07
"cat__disease_target_Liệt não, hội chứng liệt khác - Cerebral palsy and other paralytic syndromes",1.3479667046852662e-07
cat__disease_target_Nấm - Mycoses,1.2886416047926925e-07
cat__disease_target_Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,1.245626739366752e-07
cat__disease_target_Người tiếp xúc với các dịch vụ y tế làm các khám xét và điều tra - Person encountering health services for examination and investigation,1.1812465499457776e-07
cat__disease_target_Giang mai bẩm sinh - Congenital syphilis,1.1572047298166277e-07
cat__disease_target_Bệnh giun sán khác - Other Helminthiases,1.144400915319599e-07
cat__disease_target_U ác tụy - Malignant neoplasm of pancreas,1.0813476594183261e-07
"cat__disease_target_Gãy xương cổ, ngực, khung chậu - Fracture of neck, thorax or pelvis.",9.860715376458562e-08
cat__disease_target_U ác hắc tố da - Malignant melanoma of skin,9.775912022997734e-08
cat__disease_target_Nghẽn và huyết khối động mạch - Arterial embolism and thrombosis,9.017125142968697e-08
cat__disease_target_Xơ cứng nhiều nơi - Multiple sclerosis,8.983149708405462e-08
cat__age_group_Kh?ng r?,8.902388445500627e-08
"cat__disease_target_Tai nạn chết đuối, chết chìm - Accident drowning and submersion",8.715867295949356e-08
cat__disease_target_Rối loạn kinh nguyệt - Disorders of menstruation,8.714886399886497e-08
"cat__disease_target_Viêm giác mạc, tổn thương khác của củng mạc và giác mạc - Keratitis and other disorders of sclera and cornea.",8.17296199186701e-08
cat__disease_target_Viêm vòi trứng và viêm buồng trứng - Salpingitis and oophoritis,6.867109158800988e-08
cat__disease_target_Viêm xoang mạn tính - Chronic sinusitis,6.381753441978108e-08
cat__disease_target_Cơn thiếu máu não thoáng qua và các hội chứng tương tự - Transient cerebral ischaemic attacks and related syndromes,6.240026949307663e-08
cat__disease_target_U ác các phần khác của hệ thần kinh trung ương - Malignant neoplasm of other parts of central nervous system,5.992307062213759e-08
cat__disease_target_U ác mắt và các phần phụ - Malignant neoplasm of eye and adnexa,5.912058652164053e-08
cat__disease_target_Các bệnh do vi khuẩn khác - Other bacterial diseases,5.700669864465228e-08
"cat__disease_target_Dị thường nhiễm sắc thể, chưa xếp ở chỗ khác - Chromosomal abnormalities, not elsewhere sclassified",5.6894234042245386e-08
cat__disease_target_Thiếu vitamin khác - Other vitamin deficiencies.,5.42500764814158e-08
"cat__disease_target_Tâm thần phân liệt, rối loạn dạng phân liệt và hoang tưởng - Schizophrenia, schiztypal and delusional disorders",5.141684579382098e-08
cat__disease_target_Nhiễm virut Héc-pét - Herpesviral infections,4.919776000222373e-08
cat__disease_target_U lành cơ quan tiết niệu - Benign neoplasm of urinary organs,4.9158614947160784e-08
"cat__disease_target_Thai chậm phát triển, suy dinh dưỡng, rối loạn gắn liền với thai nghén và cân nặng không đủ khi sinh - Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight",4.631415886755419e-08
cat__disease_target_Trật đốt sống cổ và các đốt sống khác - Cervical and other interverbral disc disorders,4.463917830170256e-08
cat__disease_target_Viêm gan B cấp - Acute hepatitis B,4.4391959574430655e-08
cat__disease_target_Rối loạn khí sắc - Mood ( affective) disorders.,4.403540172676924e-08
"cat__disease_target_Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",4.0788637938936375e-08
cat__disease_target_Nhiễm HIV - Human immuno deficiency virus disease,3.961183921967208e-08
"cat__disease_target_Không có, tịt hoặc hẹp ruột non - Absence, atresia and stenosis of small intestine",3.857018990391405e-08
cat__disease_target_Thấp khớp cấp - Acute rheumatic heart disease,3.712744396517266e-08
cat__disease_target_Tai nạn giao thông - Transport accidént,3.528359268348661e-08
"cat__disease_target_Di chứng, thương tổn do chấn thương, do ngộ độc và hậu quả khác do nguyên nhân bên ngoài - Sequalae of injuries, of poisoning and of other consequences of external causes",3.259314301068104e-08
cat__disease_target_Thương tổn do chấn thương ở mắt và hốc mắt - Injury of eye and orbit,2.9430757663463063e-08
cat__disease_target_Bệnh tăng huyết áp khác - Other hypertensive diseases,2.7088225293986842e-08
cat__disease_target_Bệnh thoái hoá khớp - Arthrosis,2.5119473617044828e-08
"cat__disease_target_U ác chỗ nối trực tràng sigma, trực tràng, hậu môn và ống hậu môn - Malignant neoplasm of rectosigmoid function, rectum, anus and anal canal",2.3762207323630283e-08
"cat__disease_target_Tật khúc xạ, các rối loạn điều tiết - Disorders of refraction and accomodation",2.205979663171971e-08
"cat__disease_target_Giang mai sớm (Giang mai I, II và kín) - Early syphilis",1.9309484674424785e-08
cat__disease_target_Không rõ nhóm bệnh,1.8922935010150657e-08
cat__disease_target_Bệnh tim thiếu máu cục bộ khác - Other ischaemic heart diseases,1.6979982637123226e-08
cat__disease_target_Các dạng uốn ván khác - Other tetanus,1.6357648553879705e-08
cat__disease_target_Quá sản tuyến tiền liệt - Hyperplasia of prostate,1.60715537651532e-08
cat__disease_target_U ác vú - Malignant neoplasm of breast,1.4943635230961973e-08
cat__disease_target_Người có nguy cơ liên quan đến bệnh truyền nhiễm - Other persons with potential health hazards related to communicable diseases,1.4309941968501743e-08
cat__disease_target_Sởi - Measles,1.3188240483531598e-08
cat__disease_target_Tả - Cholera,1.2791459738676715e-08
cat__disease_target_Các biến chứng khác của chửa đẻ - Other complications pregnancy and delivery,1.1940971960871047e-08
cat__disease_target_Bệnh túi thừa của ruột non - Diverticular disease of intestine,1.0447422148677921e-08
cat__disease_target_Rối loạn tâm thần và ứng xử liên quan dùng các chất kích thích tâm lí khác - Mental and behavioural disorders due to other psychoactive substances use,1.0024876927509872e-08
cat__disease_target_U ác dạ dày - Malignant neoplasm of stomach,9.374503894341395e-09
cat__disease_target_Sán Echinococ - Echinococcosis,9.2168685401327e-09
cat__disease_target_Dịch hạch - Plague,9.174520483958009e-09
cat__disease_target_Cúm - Influenza,7.3882150152818454e-09
